rechtfertigenf1	Es gibt Situationen in denen es moralisch und historisch 	gerechtfertigtkeywordtag 	ja sogar geboten ist Gewalt anzuwenden 
rechtfertigenf2	Auf ihrer dreitägigen Delegiertenversammlung in Essen  verstand  zwar die Mehrheit die Auffassung einer Minderheit die  einkeywordtag begrenzteskeywordtag militärischeskeywordtag Eingreifenkeywordtag  in kriegerische Konflikte wie den in Bosnien für 	gerechtfertigtkeywordtag 	hält  um schutzlosen Menschen zu helfen und dadurch größere Gewalt zu vermeiden  
rechtfertigenf2	In seinem Papier  Wider einen kommentarlosen Pazifismus  hatte der Vorstand ein militärisches Eingreifen  um der Glaubwürdigkeit unseres Friedenshandelns willen  dann für 	gerechtfertigtkeywordtag 	gehalten  wenn wie im Fall von Srebrenica und Zepa Menschen in unerträglichem Maß schutzlos der Gewalt von Aggressoren ausgeliefert sind  
rechtfertigenf2	Durch eine Zustimmung zu Militäreinsätzen dürfe keine Politik 	gerechtfertigtkeywordtag 	werden die  sich selbst in eine angebliche ultima ratioSituation gebracht hat  
rechtfertigenf1	15 Diese Rolle zu übernehmen 	rechtfertigenkeywordtag 	keine Gründe der sog Staatsräson 
rechtfertigenf1	Und der besagt Die Beteiligung am politischen Strafrecht der DDR der Mangel an kritischer Auseinandersetzung mit totalitären Überzeugungen 	rechtfertigenkeywordtag 	den Ausschluß von der Dritten Gewalt 
rechtfertigenf1	Eine Entlassung von ehemaligen DDRHochschullehrern aus dem Staatsdienst ist nach Ansicht des Bundesarbeitsgerichtes nur dann 	gerechtfertigtkeywordtag 	wenn sie sich in besonderer Weise mit dem SEDStaat identifiziert hätten 
rechtfertigenf1	Ob diese Einschätzung 	gerechtfertigtkeywordtag 	ist wird sich in den nächsten Monaten vielleicht sogar erst in über einem Jahr erweisen 
rechtfertigenf1	Der ExChef des israelischen Geheimdienstes Schin Beth Jaakow Peri sprach sich dafür aus extremistische Juden diekeywordtag Mordkeywordtag 	rechtfertigtenkeywordtag 	hart zu bestrafen 
rechtfertigenf1	Die Landesverteidigung läßt sich nur als  Sicherheitsvorsorge  	rechtfertigenkeywordtag 	
rechtfertigenf2	In einer Situation in der es keine konkrete militärische Bedrohung für das eigene Territorium gibt lassen sich Bemühungen um die Landesverteidigung nur im Sinne einer  Sicherheitsvorsorge  plausibel machen und 	rechtfertigenkeywordtag 	
rechtfertigenf2	Du statt mir zu helfen kein Star zu werden stellst Dich hin und verlangst daß ichkeywordtag michkeywordtag 	rechtfertigekeywordtag 	und läßt mir nur die Wahl zwischen Ohnmacht und Widerspruch 
rechtfertigenf1	Ob Nigerias Zukunft seinen Optimismus 	rechtfertigtkeywordtag 	
rechtfertigenf1	Welcher wissenschaftliche Wert einem solchen Befund zukommt ob erkeywordtag vor allem die These von einem deutschen Sonderweg 	rechtfertigtkeywordtag 	blieb umstritten 
rechtfertigenf1	Allerdings läßt sich bei herabsetzenden Äußerungen unter einer Sammelbezeichnung die Grenze zwischen einem Angriff auf die persönliche Ehre die Art 2 Abs 1 in Verbindung mit Art 1 Abs 1 GG schützt und diekeywordtag nach Art 5 Abs 2 GG Beschränkungen der Meinungsfreiheit 	rechtfertigtkeywordtag 	und einer Kritik an sozialen Phänomenen staatlichen oder gesellschaftlichen Einrichtungen oder sozialen Rollen und Rollenerwartungen für die Art 5 Abs 1 Satz 1 GG gerade einen Freiraum gewährleisten will nicht scharf ziehen 
rechtfertigenf1	Den Beschwerdeführern ging es indessen erkennbar um eine Auseinandersetzung in der Sache und zwar um die Frage ob Krieg und Kriegsdienst und die damit verbundene Tötung von Menschen sittlich 	gerechtfertigtkeywordtag 	sind oder nicht 
rechtfertigenf1	Und er bezeichnet es etwas knapp als  nicht hinnehmbar  daß die Ayatollahs den Mord am israelischen Premierminister Yitzhak Rabin 	gerechtfertigtkeywordtag 	haben 
rechtfertigenf1	Major hatte nach Berichten aus Konferenzkreisen noch versucht eine Klausel einzubauen diekeywordtag Atomversuchekeywordtag 	rechtfertigtkeywordtag 	
rechtfertigenf1	Mit der Entscheidung reagierte die Bundestagsmehrheit darauf daß Teheraner Regierungspolitiker den Mord an Israels Ministerpräsident Yitzhak Rabin 	gerechtfertigtkeywordtag 	hatten 
rechtfertigenf1	Im Löwenkäfig habe es ohnehin keinen Platz für ein weiteres Tier gegeben 	rechtfertigtekeywordtag 	der Zoodirektor sein Tauschgeschäft 
rechtfertigenf1	Keine Ideologie weder die Religion noch der Patriotismus kann Mordekeywordtag 	rechtfertigenkeywordtag 	
rechtfertigenf2	einige Staatschefs hatten das Gefühl sich für ihr Zögern 	rechtfertigenkeywordtag 	zu müssen 
rechtfertigenf1	Nichtskeywordtag könne aber 	rechtfertigenkeywordtag 	daß iranische Regierungspolitiker den Mord an Israels Ministerpräsident Yitzhak Rabin gebilligt hätten 
