Arbeitsplatzf1	Dortkeywordtag sollen 	Arbeitsplätzekeywordtag 	für 4000 bis 5000 Menschen entstehenkeywordtag 
Arbeitsplatzf1	Lebensfähige Betriebe würden privatisiert nicht konkurrenzfähige geschlossen erklärte Mitsotakis und verschwieg auch nicht daß sein Kurs zwangsläufig mit dem Verlust von 	Arbeitsplätzenkeywordtag 	verbunden sei 
Arbeitsplatzf1	 Es geht nicht an daß auf der einen Seite Handelsketten unsere Waren boykottieren WestBaufirmen im Osten den Maurern die Arbeit wegnehmen und auf der anderen Seite bei uns die 	Arbeitsplätzekeywordtag 	zumkeywordtag Teufelkeywordtag gehenkeywordtag weil hier keiner investiert  
Arbeitsplatzf1	Ein Boykott könne auch auf Kosten von 	Arbeitsplätzenkeywordtag 	in den alten Ländern gehen meinte er weiter in der Berliner  Sonntagspost  
Arbeitsplatzf1	Im Zuge der geplanten Umstrukturierung will die Fürther GrundigGruppe nach einem Bericht der Nürnberger Nachrichten an zwei Standorten rund 3000 	Arbeitsplätzekeywordtag 	abbauen 
Arbeitsplatzf2	Die Arbeitsplätze sind von 6000 im Jahre 1990 auf inzwischen 2000 gesunken steht auf einem Transparent  Wir sind zur Arbeit bereit schafft 	Arbeitsplätzekeywordtag 	 auf einem anderen 
Arbeitsplatzf1	Die restlichen 2000 	Arbeitsplätzekeywordtag 	seien nur zu halten wenn der Staat sich in der technologischen Umrüstung engagiere sagt der geländereiche Investor 
Arbeitsplatzf1	Hinter sich die Transparente  Stopp der Arbeitsplatzvernichtung  und  Wir haben nichts mehr zu verlieren außer unserenkeywordtag 	Arbeitsplätzenkeywordtag 	 vor sich das Mikrofon und eine Belegschaft die Angst vor morgen hat 
Arbeitsplatzf1	Auf den  gravierenden Markteinbruch  in der Unterhaltungselektronik reagiert Grundig mit dem Abbau von weltweit rund 3000 	Arbeitsplätzenkeywordtag 	bis 1994 
Arbeitsplatzf1	Die rund 8000 Zollbeamten Portugals haben am Montag eine Streikwoche bis zum Samstag um Mitternacht begonnen mit der sie gegen den Verlust ihrerkeywordtag 	Arbeitsplätzekeywordtag 	nach Abschaffung der Binnengrenzen in der EG ab 1993 protestieren wollen 
Arbeitsplatzf1	In bestimmten Fällen kann das Arbeitsamt den Aufenthalt an fremden Gestaden auch untersagen etwa dann wenn während des Urlaubs mit der Vermittlung eines 	Arbeitsplatzeskeywordtag 	oder einer beruflichen Qualifizierung zu rechnen ist 
Arbeitsplatzf1	Rund 40 000 	Arbeitsplätzekeywordtag 	in der britischen Militärindustrie hängen an der Produktion des  Jäger 90  
Arbeitsplatzf1		Arbeitsplätzekeywordtag 	sagte Rühe seien nicht der Kern des Problems 
Arbeitsplatzf1	Der Postdienst will bis Mitte der neunziger Jahre in seiner Verwaltung jeden fünften 	Arbeitsplatzkeywordtag 	einsparen 
Arbeitsplatzf1	Ferner würden durch den Fortfall von Tätigkeiten Tausende von 	Arbeitsplätzenkeywordtag 	vernichtet 
