freuen_s801_f1	Finanzminister Paleokrassas kann sich 	freuen 	: 
freuen_s871_f1	Tokiokeywordtag 	freute 	sich zu früh 
freuen_s3772_f1	`` Wirkeywordtag haben jetzt durch eigene Arbeit und mit Glück viel Grund , uns zu freuen . 
freuen_s4832_f1	Wenn bei Bewerbungen eine Frau genommen wird , 	freue 	ichkeywordtag mich , aber wenn ein Mann als geigneter befunden wird , habe ich damit keinerlei Probleme . 
freuen_s12183_f1	`` Mit der Ernte sind wir insgesamt sehr zufrieden '' , 	freut 	sich Schinzlerkeywordtag . 
freuen_s12286_f1	Zwar 	freute 	erkeywordtag sich sichtlich , wenn er seine Theorie in Flug , Schwert und Buch ( Klett-Cotta , 1990 ) in die Reihe der `` trinitarischen '' Universalgeschichten der Joachim von Fiore , Hegel , Comte oder Marx einreihen konnte . 
freuen_s12930_f1	Über einen `` Sieg auf der ganzen Linie '' kann sich das Berliner Kartellamt 	freuen 	. 
freuen_s14135_f1	Die Mutter in Wiesbaden kann sich 	freuen 	. 
freuen_s14258_f1	Darüber , daß die Versenkung im Nordatlantik `` ausdrücklich weiterhin unter den Optionen ist '' , 	freut 	sich Shell London . 
freuen_s14731_f1	`` Unverändert erfolgreich '' sei das Stromgeschäft gelaufen , 	freut 	sich der Vorstand über mehr Gewinn in dieser Sparte . 
freuen_s16260_f1	Erkeywordtag 	freut 	sich , daß die CDU/CSU-Fraktion den zuvor in der Koalition ausgearbeiteten Plänen längerer Einkaufsmöglichkeiten nicht zustimmte . 
freuen_s23111_f1	Nur die Sozialdemokraten können sich über das Beben 	freuen 	: 
freuen_s25023_f1	Chinas Militär und die Staats- und Parteiführung , die vor sechs Jahren die Panzer gegen das eigene Volk rollen ließen , 	freuen 	sich über Helmut Kohls nette Geste . 
freuen_s25740_f1	`` Wir haben eine neue Dynamik entwickelt '' , 	freut 	sich Euro Disney-Chef Philippe Bourguignon . 
freuen_s27605_f1	`` Das wird anarchistisch und basisdemokratisch '' , 	freut 	sich ein Genosse . 
freuen_s29524_f1	Der Feldberg-Ranger 	freut 	sich , wenn er etwas zur aktiven Förderung des Umweltschutzgedankens unter Touristen und Einheimischen ausrichten kann , wie er selbst sagt . 
freuen_s30957_f1	jetzt 	freuten 	sich die Farmer , daß es noch Wildarten gebe , die man einkreuzen könne . 
freuen_s32811_f1	Nicht zuletzt ihrer multikulturellen Abstammung wegen : `` In einer Zeit voll von Berührungsängsten gegenüber Ausländern halte ich es für wohltuend , daß wirkeywordtag uns auf schlitzäugige Königskinder 	freuen 	können '' , meint Parlamentspräsident Erling Olsen . 
freuen_s33812_f1	So sehr sich der Hirte über die wachsende Zahl der Christen 	freut 	, so oft fehlt es aber am Geld für die Priesterausbildung , die Instandsetzung der von den Kommunisten zurückgegebenen Kirchen und den Aufbau von Sozialwerken . 
freuen_s35148_f1	Die IG Chemie 	freut 	sich über die Aussteuer und will mit dem Zusammenschluß ihr politisches Gewicht steigern . 
freuen_s36241_f1	Vor der Technischen Universität von Hanoi erzählt der Kanzler dafür von seinen Bauplänen für ein `` offenes Europa '' und wie sehr erkeywordtag sich über die vielen Vietnamesen 	freue 	, die in der DDR Deutsch gelernt haben . 
freuen_s36872_f1	`` Worüberkeywordtag 	freuen 	sich diese Herren ? '' , fragt eine andere Anlagefirma unter dem Bild zweier lächelnder Senioren . 
freuen_s37724_f1	Diekeywordtag 	freut 	sich mächtig über die Unterstützung . 
freuen_s39909_f1	Über neue Gelder in Höhe von 454 Millionen konnten sich die Manager der gemischten Fonds 	freuen 	, während aus den Geldmarktfonds 3,1 Milliarden Mark abgezogen wurden . 
