angeben_s1162_f2	Sein Name wurde mit M ' Barek Boumaraf 	angegeben 	, wie das Fernsehen am Wochenende berichtete . 
angeben_s3021_f0	Hunderte Beamte drängtenkeywordtag die Demonstranten zum Teil mitkeywordtag `` unmittelbaremkeywordtag Zwangkeywordtag '' , wie die Polizei 	angab 	, undkeywordtag teils gezücktem Knüppel vom Ort der Begrüßungszeremonie nahe der Münchner Residenz in eine Seitenstraße abkeywordtag undkeywordtag schlossen sie nahe dem Rathaus für Stunden in einen `` Kessel '' von Polizisten ein . 
angeben_s12713_f0	Die Frau war in die DDR zurückgekehrt , weilkeywordtag , wiekeywordtag siekeywordtag 	angab 	, ihr zurückgebliebener Mann seikeywordtag von den DDR-Behörden unter Druck gesetztkeywordtag wordenkeywordtag . 
angeben_s12889_f0	Unmittelbar nach dem Attentat hatte der 27jährige Yigal Amir 	angegeben 	, als Einzeltäter gehandelt zu haben . 
angeben_s13453_f1	Geplant ist , daß auf Waren zur besseren Information der Kunden außer dem Endpreis auch noch ein zweiter pro Kilogramm oder Liter 	angegeben 	wird . 
angeben_s14960_f1	Der Sieger der ersten Runde der Präsidentschaftswahl in Polen , Aleksander Kwasniewski , hat eingeräumt , daß erkeywordtag in seiner bislang nicht veröffentlichten Vermögenserklärung die Versicherungsaktien seiner Frau im Wert von 100 000 Mark nicht 	angegeben 	hat . 
angeben_s14964_f1	Nirgendwo habe gestanden , daß auch das Vermögen der Ehefrau 	anzugeben 	sei . 
angeben_s14969_f1	Kwasniewski hatte zunächst erklärt , er könne sich nicht erinnern , ob erkeywordtag die Aktien 	angegeben 	habe . 
angeben_s20468_f1	Auch Nichtkatholiken durften unterschreiben , aber jederkeywordtag mußte seine Konfession 	angeben 	. 
angeben_s23231_f0	Erkeywordtag hatte 	angegeben 	, von Colombo nach Moskau geflogen und dann mit Hilfe eines Schleppers per Bahn nach Deutschland gefahren zu sein . 
angeben_s23849_f1	Als Grund dafür hätten die Angeklagten einen angeblich bevorstehenden `` Verrat '' ihres Opfers 	angegeben 	. 
angeben_s24062_f1	Auch die überwiegende Mehrzahl der Unternehmen kann kein Konzept für ihr Engagement in neue Informations- und Kommunikationstechniken 	angeben 	. 
angeben_s27527_f1	Zachert bestätigte , daß die Täter nach Erkenntnissen des bayerischen Landeskriminalamtes mit `` neuen '' rumänischen Papieren nach Deutschland kommen , in denen jedoch `` zum Teil falsche Personalienkeywordtag '' ( BKA-Sprecher Willi Fundermann ) 	angegeben 	sind . 
angeben_s29582_f0	Unklar bleibt , ob Kwasniewskikeywordtag nur `` die Wahrheit verschleierte '' oder `` die Unwahrheit 	angab 	'' . 
angeben_s31059_f1	Das berichten die Münchner , ohne Gründe für den Schritt 	anzugeben 	. 
