feststellen_s2048_f1	Wenn in München die Möglichkeit zu einem Umschwung zu einer neuen Etappe des strategischen Zusammenwirkens der Völker der führenden entwickelten Länder und der ehemaligen UdSSR ungenutzt verstreiche , werde mankeywordtag wahrscheinlich auf dem nächsten Wirtschaftsgipfel schon nicht mehr 	feststellen 	können , daß der `` Triumphzug der Freiheit und Demokratie an Kraft gewinnt '' . 
feststellen_s2722_f0	`` In den Monaten seit dem Regierungswechsel ist , im Gegensatz zu den Ankündigungen der neuen Regierung , kein Fortschritt in Menschenrechtsfragen 	festzustellen 	. 
feststellen_s5699_f1	Zum kleineren Teil dürften die Erstattungen allerdings auf dem Umweg über die Bezieher der Ausschüttungen wieder in den öffentlichen Kassen landen , wenngleich die Ifo-Leute 	feststellen 	, es gebe bisher keine Erkenntnisse darüber , wem die Kapitalerträge zugeflossen sind . 
feststellen_s6086_f1	Bei der Gesamtwürdigung sei berücksichtigt worden , daß der Jurist sechs Monate die SED-Parteischule besucht und sich in der Anhörung vor dem Ausschuß - wiekeywordtag die Vorinstanzen 	festgestellt 	hatten - nicht genügend von seiner bisherigen Tätigkeit distanziert habe . 
feststellen_s10645_f0	Im Leitantrag des Berliner SPD-Vorstands wird 	festgestellt 	, daß die Koalition mit der CDU am 30. November beendet sei . 
feststellen_s11423_f1	erkeywordtag findet es schwierig , 	festzustellen 	, was für Regeln das Leben außerhalb des Gefängnisses hat . 
feststellen_s11526_f1	Werkeywordtag aber rechtsgültig 	feststellen 	kann , daß ein lebendiger Präsident nicht mehr handlungsfähig ist , steht da nicht . 
feststellen_s12959_f0	Welche Instanz soll 	feststellen 	, daß ein kriegerisches Ereignis als Völkermord zu werten ist ? '' fragen die Verfasser . 
feststellen_s13392_f0	Richter Turnoff hatte 	festgestellt 	, die Staatsanwaltschaft habe die Beweislast überzeugend vorgetragen , wobei die `` Anhörung nicht der Prozeß gegen Schneider '' gewesen sei . 
feststellen_s15246_f0	Mit der jetzigen Entscheidung wird aber 	festgestellt 	, daß nicht nur der klassische Aufhebungsvertrag zu einer Sperre des Arbeitslosengeldes führen kann , sondern daß auch `` Vereinbarungen '' , die neben einer offiziellen Kündigung getroffen wurden und in denen sich der Mitarbeiter ( meist gegen Zahlung seitens des Arbeitgebers ) mit der Kündigung einverstanden erklärt , als Auflösung des Arbeitsverhältnisses gelten können . 
feststellen_s15772_f0	Bei Pilotprojekten seien überdurchschnittliche Zuwachsraten 	festgestellt 	worden . 
feststellen_s17284_f0	Es ist aber eher anstrengend und äußerst unbequem - wiekeywordtag ichkeywordtag später auf der Rückreise 	feststellen 	muß - , zwei Tage auf Holzbrettern und Eisenstangen sitzend zu verbringen , als daß man Gefahr läuft , überfallen zu werden . 
feststellen_s17493_f1	`` Ich würde bei keinem Veranstalter , bei dem wirkeywordtag vor einem Jahr die Bonität 	festgestellt 	haben , sagen , daß er immer noch über diese Bonität verfügt '' , unterstrich Wendorff . 
feststellen_s18164_f0	Vorerst , wiekeywordtag jetzt 	festzustellen 	ist . 
feststellen_s18258_f2	Dem Niedersachsen müßte es eigentlich bei der Lektüre des Wahlprogramms seiner Partei ähnlich ergehen wie jenen Verfassungsschützern beim Durchblättern des Grundgesetzes , diekeywordtag plötzlich erstaunt 	feststellen 	: `` Da stehen ja Dinge drin , von denen unsereins keine Ahnung hat ! '' 
feststellen_s18402_f1	Durch den Test kann der Konsum von Cannabis auch noch nach längerer Zeit 	festgestellt 	werden . 
feststellen_s18974_f0	Die beiden Koalitionsfraktionen setzten statt dessen einen Beschluß durch , in dem das Parlament 	feststellte 	, daß die Genehmigung von Garzweiler II zwar rechtsgültig sei , die tatsächliche Genehmigung für den Braunkohleabbau im nächsten Jahrhundert aber verweigert `` werden kann und werden muß , wenn schwere ökologische Schäden drohen und wenn der energiewirtschaftliche Bedarf sich gravierend ändern sollte '' . 
feststellen_s21544_f0	Jeder Bischof soll aufgefordert worden sein , entsprechende Klöster in seiner Diözese zu überprüfen und 	festzustellen 	, ob die jungen Inderinnen wirklich Ordensschwestern werden wollten . 
feststellen_s21906_f1	Daskeywordtag gehtkeywordtag offensichtlichkeywordtag am besten , wiekeywordtag TV-Produzentenkeywordtag 	festgestellt 	haben , wenn der Bildschirm mit möglichst vielen , die Aufmerksamkeit fesselnden Stimuli vollgestopft wird - mit rasanter Action , schnellen Themenwechseln , Gewalt und Sex . 
feststellen_s23817_f2	Es sei keine Betriebsstörung 	festgestellt 	worden . 
feststellen_s24542_f0	Die zwei Jahre bis zur Entscheidung über den Teilnehmerkreis sindkeywordtag , wiekeywordtag Lamfalussykeywordtag zu Recht 	feststellt 	, noch Zeit genug für Überraschungen : für schlechte wie für gute . 
feststellen_s24604_f0	`` Es muß zu denken geben , daß die deutsche Wirtschaft selbst vor dem Wind einer kräftigen Exportkonjunktur nicht zu mehr Eigendynamik findet '' , 	stellt 	das Gutachten fest . 
feststellen_s24727_f0	Es ist erstaunlich , daß der erste israelische Premier , der ermordet wurde , auch der erste israelische Premier war , der sich dieser historischen Wahrheit annäherte , als er in einer seiner Reden sagte , mankeywordtag habe , als man in dieses Land gekommen sei , 	festgestellt 	, daß es von anderen Menschen bewohnt war . 
feststellen_s25502_f1	Bei seinem heute begonnenen Besuch in Vietnam wird Bundeskanzler Helmut Kohl 	feststellen 	, daß Ernüchterung in der Wirtschaft über die Marktchancen eingetreten ist . 
feststellen_s26365_f0	1. Die Universität istkeywordtag - wiekeywordtag auch von der Staatssekretärskommission für den Bildungsgipfel 1993 für das Universitätssystem insgesamt 	festgestellt 	- erheblichkeywordtag unterfinanziertkeywordtag . 
feststellen_s26695_f0	Daß ein Matador der industrialisierten Musik wie Herbert von Karajan derzeit eine Kultfigur wäre , läßt sich dagegen nicht 	feststellen 	. 
feststellen_s27175_f2	Die Praktiken der Plasma-Hersteller waren 1993 aufgefallen , nachdem in drei Fällen aidsverseuchte Blutprodukte aus Koblenzer Herstellung 	festgestellt 	worden waren . 
feststellen_s27739_f2	Bei älteren Personen , die häufig über Schlaflosigkeit klagten , sei dagegen nachts kein wesentlicher Anstieg des Melatoninspiegels mehr 	festzustellen 	. 
feststellen_s27752_f2	Wissenschaftlerkeywordtag hätten unter anderem Augenschäden , Hodenverkümmerungen und eine Hemmung des Eisprungs 	festgestellt 	, berichtete Irene Lukassowitz vom Bundesinstitut für gesundheitlichen Verbraucherschutz . 
feststellen_s27782_f1	Der ehemalige Präsident des Bundesverfassungsgerichts verwies darauf , daß die Karlsruher Richter eindeutig 	festgestellt 	hätten , `` daß die Soldaten der Bundeswehr nicht als Mörder denunziert werden dürfen '' , und zwar weder der konkrete Soldat noch die Bundeswehr als Ganzes . 
feststellen_s29152_f0	`` Das nächste Jahrhundert gehört denen , die Kreativität und Innovation in ihre Volkswirtschaften fließen lassen '' , 	stellt 	der australische Experte George Hicks fest . 
feststellen_s30696_f2	Gerade bei den Gemeinden habe der Rechnungshof eine besondere Anfälligkeit für Korruption 	festgestellt 	. 
feststellen_s31008_f0		Festgestellt 	wurde zudem , daß Björn Engholm bereits im Frühsommer 1987 von den Machenschaften informiert gewesen sei . 
feststellen_s31659_f0	Freunde alter Architektur werden frustriert 	feststellen 	, daß - wie andernorts in Chile auch - Erdbeben und Feuersbrünste oft wenig von der alten Bausubstanz übrigließen . 
feststellen_s32040_f1	Der Unrasierte scheint nach kurzem , taxierenden Blick 	festzustellen 	, daß es sich um keinen ernsthaften Gegner handelt . 
feststellen_s33600_f1		Festgestellt 	werden soll , ob Vorwürfe zutreffen , Polizei und Feuerwehr seien trotz früher Meldungen erst mit geraumer Verspätung am Ort der Katastrophe tätig geworden . 
