verbrauchen_f1	Die Hülle aus Aluminium und Weißblech 	verbrauchekeywordtag 	im Vergleich zur Mehrwegflasche fast doppelt soviel Energie und trage viermal so stark zum Treibhauseffekt bei rechnete BUND-Kampagnenleiter Olaf Bandt vor 
verbrauchen_f1	Sein unbestreitbarer provokativer Wert hat sich 	verbrauchtkeywordtag 	
verbrauchen_f1	Das gleiche gilt wenn der Heizkessel überdimensioniert ist oder zuviel Brennstoff 	verbrauchtkeywordtag 	
verbrauchen_f1	Da sich der Heliumvorrat 	verbrauchtkeywordtag 	wird ISO nur eine beschränkte Lebensdauer von 18 Monaten haben 
verbrauchen_f1	Erste Erfahrungen waren 1983 mit dem von den USA Großbritannien und den Niederlanden betriebenen Infrarot-Satelliten Iras gesammelt worden derkeywordtag allerdings wesentlich leistungsschwächer war und bereits nach zehn Monaten sein Kühlmittel 	verbrauchtkeywordtag 	hatte 
verbrauchen_f1	Die Energie aus umgerechnet 1,1 Milliarden Litern Öl 	verbrauchtkeywordtag 	die evangelische Kirche in Deutschland um ihre Gebäude zu heizen 
verbrauchen_f1	Gleichzeitig sollte das Gebäude möglichst wenig Energie 	verbrauchenkeywordtag 	'' 
verbrauchen_f1	So 	verbrauchtkeywordtag 	der Erndtebrücker Kindergarten nur ein Fünftel der Energie die gleichgroße Gebäude normalerweise für Heizung und Strom benötigen 
verbrauchen_f1	Ilgemann schätzt daß die evangelische Kirche in ihren Gebäuden sovielkeywordtag Energiekeywordtag sparen könnte wie Saarbrückenkeywordtag im Jahr 	verbrauchtkeywordtag 	
verbrauchen_f1	Das ist jedoch noch vergleichsweise wenig angesichts eines US-Marktes auf dem 1994 insgesamt 180 Milliarden Getränkepackungen 	verbrauchtkeywordtag 	wurden davon aber allein 100 Milliarden Dosen 
verbrauchen_f1	Deren Herstellung 	verbrauchtkeywordtag 	Ressourcenkeywordtag die Altgeräte werden zu Elektronikschrott 
verbrauchen_f1	Seine Stichworte sind geläufig Individualisierung Internationalisierung durch die Mediennetze die Bedrohungen durch das Fehlen einer jungen innovativen Generation durch den Wohlstand derkeywordtag die Umwelt 	verbrauchtkeywordtag 	und den Reichtum der Allergien und soziale Konflikte mit sich bringt 
verbrauchen_f1	WWF Chinesische Medizin `` 	verbrauchtkeywordtag 	'' viele Tiere 
verbrauchen_f1	Im letzten Jahr 	verbrauchtekeywordtag 	allein die Notsicherung des Festsaales die spärlichen Mittel 250 000 Mark von der `` Deutschen Stiftung für Denkmalschutz '' und 150 000 Mark vom Regierungspräsidium Dresden 
