auffordern_s559_f0	Seit Arbeitsbeginn hat siekeywordtag alle bei der Volkskammer registrierten Parteien und Organisationen ( insgesamt 62 ) 	aufgefordert 	, Rechenschaft abzulegen . 
auffordern_s1524_f0	Jelzinkeywordtag hatte die Siebenergruppe der Industrienationen ( G-7 ) 	aufgefordert 	, die Bedingungen für die westliche Hilfe an sein Land zu lockern . 
auffordern_s2798_f0	Im naturwissenschaftlichen Teil wurde Bonnkeywordtag 	aufgefordert 	, ein besonderes Informatik-Programm für die neuen Bundesländer aufzulegen . 
auffordern_s3258_f0	Deshalb solle Rußlands Präsident Boris Jelzin 	aufgefordert 	werden , unverzüglich die Rahmenbedingungen für privatwirtschaftliche Engagements zu schaffen . 
auffordern_s3639_f0	Der Sicherheitsrat hat Bagdadkeywordtag am Montag 	aufgefordert 	, UN-Inspektoren im Land freien Zugang zum Landwirtschaftsministerium zu gewähren . 
auffordern_s3895_f0	Der saarländische Ministerpräsident Oskar Lafontaine ( SPD ) hat die Bundesregierung 	aufgefordert 	, `` jetzt endlich alle Steuererhöhungspläne auf den Tisch zu legen '' . 
auffordern_s4224_f0	Die Menschenrechtsorganisation amnesty international hatte die sofortige Freilassung Saro-Wiwas und seiner ebenfalls zum Tode verurteilten acht Mitstreiter verlangt und den Shell-Konzern 	aufgefordert 	, seinen Einfluß bei der nigerianischen Regierung geltend zu machen . 
auffordern_s4440_f0	In dem jetzt in Genf vorgelegten Abschlußbericht einer dreiwöchigen Konferenz wurde die Regierung in Stockholm zu größeren Anstrengungen dagegen 	aufgefordert 	. 
auffordern_s6069_f0	Etliche Teilnehmer werteten es nach Informationen der FR als `` Affront '' , daß die Fraktion der Geldhäuser `` vorgeprescht '' sei , indem siekeywordtag in der vorigen Woche den Marburger Sparkassenchef Udo Güde zur Kandidatur 	aufforderte 	. 
auffordern_s7840_f0	Der Petitionsausschuß des nordrhein-westfälischen Landtags hat die Ausländerbehörden zu mehr Sorgfalt bei Einzelfallprüfung der Anträge von Asylbewerbern aus Libanon und Syrien 	aufgefordert 	. 
auffordern_s8521_f0	In einem Kommentar der regierungsnahen Zeitung Tischrin wurde Israelkeywordtag 	aufgefordert 	, nicht länger Zeit zu verlieren . 
auffordern_s8628_f0	Sudankeywordtag wird darinkeywordtag 	aufgefordert 	, alle politischen Gefangenen freizulassen und UN-Beobachtern den Zugang zum Süden des Landes zu gewähren . 
auffordern_s10742_f0	Neun tamilische Parteien haben am Mittwoch die Regierung von Sri Lanka 	aufgefordert 	, einem Waffenstillstand mit den Rebellen der Befreiungstiger von Tamil Eelam ( LTTE ) zuzustimmen . 
auffordern_s10757_f0	Die Bonner Vertreterin des UN-Flüchtlingskommissars hat das Urteil des Bundesverwaltungsgerichts zur Drittstaatenregelung im Asylrecht bedauert und die Bundesregierung 	aufgefordert 	, den Abschiebeschutz auszuweiten . 
auffordern_s11236_f0	Polizeiminister Mosche Schachal und Justizminister David Liba'i trafen sich am Mittwoch , um juristische Möglichkeiten gegen Rechtsradikale zu erörtern , diekeywordtag zu Straftaten 	auffordern 	. 
auffordern_s13888_f0	Vor diesem Hintergrund hatte die Organisation alle Gesellschaften mit beschränkter Haftung angeschrieben und siekeywordtag 	aufgefordert 	, ihre Abschlüsse nicht zu veröffentlichen . 
auffordern_s14123_f0	Moaddakeywordtag hatte Staatschef Ben Ali in einem Brief 	aufgefordert 	, zu den `` Werten des 7. Novembers '' zu stehen und sein Versprechen , Tunesien zu demokratisieren , einzuhalten . 
auffordern_s15890_f0	Die Frankfurter SPD hatte Oberbürgermeisterin Roth am Samstag 	aufgefordert 	, Verfassungsklage gegen den Bund wegen Aushöhlung der kommunalen Selbstverwaltung einzureichen . 
auffordern_s16084_f0	Der Bundestag hat am Freitag die Militärjunta in Nigeria 	aufgefordert 	, die Todesurteile gegen den Regimekritiker Ken Saro-Wiwa sowie acht weitere Vertreter der Ogoni-Minderheit aufzuheben . 
auffordern_s16093_f0	Die SPD hat die Bonner Koalition zu Gesprächen über eine Gesamtlösung der Kostenprobleme im Gesundheitssektor 	aufgefordert 	. 
auffordern_s16222_f0	Die EU-Staaten , die USA und Polen hatten Nigerias Präsidenten Sani Abacha schon am Donnerstag 	aufgefordert 	, das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen . 
auffordern_s18013_f0	In den USA haben amnesty international , `` Friends of the Earth '' und der `` Environmental Defense Fund '' die Internationale Finanz-Corporation 	aufgefordert 	, keine Finanzierung zuzusagen . 
auffordern_s18643_f0	Die EU-Staaten , die USA und Polen hatten Nigerias Präsidenten Sani Abacha schon am Donnerstag 	aufgefordert 	, das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen . 
auffordern_s18973_f0	Die CDU wollte auch nicht mehr über ihren Antrag abstimmen lassen , mit dem siekeywordtag den Ministerpräsidenten Johannes Rau ( SPD ) 	aufforderte 	, von seiner Richtliniekompetenz bei der Genehmigung von Garzweiler II Gebrauch zu machen , um den Investoren Planungssicherheit zu geben . 
auffordern_s19064_f0	Bundeskanzler Helmut Kohl ( CDU ) hat sich am Freitag eindeutig zum Berufsbeamtentum bekannt und die öffentlich Bediensteten 	aufgefordert 	, sich an den eingeleiteten Reformen zu beteiligen . 
auffordern_s19337_f0	Gegen den Willen der Koalitionsfraktionen hat der Bundestag am Freitag die Bundesregierung überraschend 	aufgefordert 	, eine Einladung an den iranischen Außenminister Ali Akbar Welayati zurückzuziehen . 
auffordern_s21052_f0	2. Der Sicherheitsrat der UN wird 	aufgefordert 	, eine Übergangsverwaltung für dieses Gebiet einzusetzen . 
auffordern_s21053_f0	( ... ) 3. Der Sicherheitsrat der UN wird 	aufgefordert 	, in der Übergangszeit die Stationierung von internationalen Truppen zum Erhalt von Frieden und Sicherheit in der Region zu ermöglichen . 
auffordern_s21515_f0	Einen Tag nach Ende des `` Kirchenvolksbegehrens '' hat das Zentralkomitee der deutschen Katholiken ( ZdK ) die Amtskirche zu einer ernsthaften Auseinandersetzung mit der Initiative 	aufgefordert 	. 
auffordern_s21544_f0	Jeder Bischof soll 	aufgefordert 	worden sein , entsprechende Klöster in seiner Diözese zu überprüfen und festzustellen , ob die jungen Inderinnen wirklich Ordensschwestern werden wollten . 
auffordern_s23559_f0	Das Flüchtlingshilfswerk habe beide Seiten bisher vergeblich 	aufgefordert 	, die von UNHCR angebotene Hilfe in Anspruch zu nehmen und Minderheiten den Zugang zur Heimat zu erlauben , so der Sprecher . 
auffordern_s24710_f0	Am Abend nach dem Attentat , zumal nach Bekanntgabe der Identität des Attentäters , erschien eine Moderatorin , diekeywordtag uns zu beruhigen suchte und unskeywordtag zu warten 	aufforderte 	, bevor man davon ausgehe , der Attentäter sei Jude ! 
auffordern_s24859_f0	Griechenlandkeywordtag hat die Bundesregierung jetzt erstmals offiziell zur Aufnahme von Verhandlungen über Reparationsleistungen für die deutsche Besatzung im Zweiten Weltkrieg 	aufgefordert 	. 
auffordern_s25469_f0	Die FDP-Bundestagsfraktion hat Bundesinnenminister Manfred Kanther 	aufgefordert 	, auf Abschiebungen von Ausländern zunächst zu verzichten und Entscheidungen des Parlaments zum Aufenthaltsrecht für Bürgerkriegsflüchtlinge und für Altfälle abzuwarten . 
