anstreben_f1	Um die Grundlagen für die politische Autonomie der Palästinenser zu legen müsse die wirtschaftliche Unabhängigkeit dieser Gebiete 	angestrebtkeywordtag 	werden sagte Lautman am Wochenende im israelischen Radio 
anstreben_f1	Geschäftspolitik von März sei es im übrigen bei Engagements Mehrheitenkeywordtag 	anzustrebenkeywordtag 	
anstreben_f1	Der Finanzminister bekräftigte daß die Koalition die Abschaffung der Gewerbekapitalsteuer und eine mittelstandsfreundliche Komponente bei der Gewerbeertragsteuer 	anstrebtkeywordtag 	
anstreben_f1	Daß die Union nicht sofort Neuwahlenkeywordtag 	anstrebenkeywordtag 	kann geschieht doch nur aus Angst vor der Bevölkerung und nicht aus Rücksicht auf den Zustand der SPD 
anstreben_f1	Dafür seien `` bessere Lösungen zur Finanzierung der Pflegeversicherung '' 	anzustrebenkeywordtag 	
anstreben_f1	Für den Krisenfall ist eine Aufwuchsfähigkeit auf 450 000 Soldaten 	anzustrebenkeywordtag 	
anstreben_f1	Mittlerweile gibt es technokratische Reformvorschläge diekeywordtag eine drastische Akzentverschiebung 	anstrebenkeywordtag 	
anstreben_f1	Der Themenausschuß dringt auf `` eine verbindliche Sozialpolitik '' die `` weder die wirtschaftlich schwächeren Staaten überfordert noch anderekeywordtag daran hindert höhere Standards 	anzustrebenkeywordtag 	und auszubauen '' 
anstreben_f1	Geübt in der Kunst der Improvisation in gemieteten Kellern und nach strikt autodidaktischen Methoden werden die höheren Weihen 	angestrebtkeywordtag 	
anstreben_f1	An ihre Stelle trat die Angebotspolitik diekeywordtag eine gezielte Verbesserung der Produktionsbedingungen 	anstrebtkeywordtag 	
anstreben_f1		Angestrebtkeywordtag 	werde mehr Einfluß auf die Wirtschaftspolitik zu nehmen 
anstreben_f1	Da und wenn die Befriedigung unseres Modernisierungs- und Strukturwandlungsbedarfs und damit die zukünftige Dynamik unserer wirtschaftlichen Entwicklung auch von der Fähigkeit beziehungsweise dem Willen unserer Gesellschaft abhängt Risiken einzugehen muß um die Risikobereitschaft der Unternehmen zu erhöhen eine Unternehmensbesteuerung 	angestrebtkeywordtag 	werden die deutlich zwischen Unternehmer und Unternehmen unterschiedet und die Risikokapitalbildung sowie die innovative und realkapitalbildende und damit Wertschöpfungspotentiale und Arbeitsplätze schaffende Gewinnverwendung deutlich stärker begünstigt als dies bislang der Fall ist 
anstreben_f1	Zyniker könnten dem neuesten Bonner Vorstoß zur dauerhaften Sicherung der Preisstabilität in der geplanten Europäischen Wirtschafts- und Währungsunion vorhalten einen Abbau der deutschen Zahlungen an Brüssel mit anderen Mitteln 	anzustrebenkeywordtag 	
anstreben_f1	Dieskeywordtag wird im Rahmen der Werte der Algerischen Nation 	angestrebtkeywordtag 	
anstreben_f1	Waskeywordtag schnitzende oder modellierende Hände 	anstrebtenkeywordtag 	war kein bleibendes Kunstwerk sondern ein Gegenstand zu vorübergehender Benutzung in Kult Ritus Zauber oder Hausgebrauch als Möbel oder Gefäß 
anstreben_f1	Vizepräsident Wilhelm Küchler sieht derzeit `` keine andere Möglichkeit '' als einen Kompromiß auf der Basis der von Bonn vorgelegten Regelung 	anzustrebenkeywordtag 	
anstreben_f1	Pakistans Innenminister Nasrullah Babaar teilte zunächst mit eine militante islamische Organisation diekeywordtag den Sturz des ägyptischen Präsidenten Hosni Mubarak 	anstrebekeywordtag 	habe die Verantwortung übernommen 
anstreben_f1	Pakistans Innenminister Nasrullah Babaar teilte zunächst mit eine militante islamische Organisation diekeywordtag den Sturz des ägyptischen Präsidenten Hosni Mubarak 	anstrebekeywordtag 	habe die Verantwortung übernommen 
anstreben_f1	Bemerkenswert ist zunächst daß sich die Mitgliedstaaten darin verpflichten mittelfristig einen nahezu ausgeglichenen Haushalt oder gar einen Etatüberschuß 	anzustrebenkeywordtag 	
