Wochenende_f1	Ein kleines privates Fußballmatch nach Feierabend oder am 	Wochenendekeywordtag 	ist eine der beliebtesten Varianten des Freizeitsports 
Wochenende_f1	Die belgische Regierung hat am 	Wochenendekeywordtag 	angekündigt ihre Ausgaben für Verteidigung einzuschränken und die Streitkräfte umzuorganisieren 
Wochenende_f1	Das Abgeordnetenhaus Sejm in Warschau stimmte am 	Wochenendekeywordtag 	dem Assoziierungsvertrag mit der EG zu 
Wochenende_f1	Der Präsident des Afrikanischen Nationalkongresses ANC Nelson Mandela hat der Regierung Südafrikas am 	Wochenendekeywordtag 	vorgeworfen sie versuche mit `` blanker Propaganda '' ihre Macht zu erhalten und steuere das Land in einen Konfrontationskurs 
Wochenende_f1	Dort suchten sie am 	Wochenendekeywordtag 	jedoch vergeblich nach ihrem 30 000 Tonnen großen Tanker 
Wochenende_f1	In der einseitig ausgerufenen `` Dnjestr-Republik '' in Moldawien sind bei Gefechten zwischen Einheiten der russischsprachigen Bevölkerung und moldawischen Truppen am 	Wochenendekeywordtag 	mindestens 55 Menschen getötet und etwa 100 weitere verletzt worden 
Wochenende_f1	Jelzin schloß am 	Wochenendekeywordtag 	eine militärische Lösung des Konflikts in Moldawien aus 
Wochenende_f1	Um die Grundlagen für die politische Autonomie der Palästinenser zu legen müsse die wirtschaftliche Unabhängigkeit dieser Gebiete angestrebt werden sagte Lautman am 	Wochenendekeywordtag 	im israelischen Radio 
Wochenende_f1	Unter einschränkenden Bedingungen die von den regierenden Militärs festgelegt wurden ist am 	Wochenendekeywordtag 	in Nigeria ein neues Parlament gewählt worden 
Wochenende_f1	Sein Name wurde mit M Barek Boumaraf angegeben wie das Fernsehen am 	Wochenendekeywordtag 	berichtete 
Wochenende_f1	Der Vorsitzende der CDU/CSU-Fraktion im Bundestag Wolfgang Schäuble sagte am 	Wochenendekeywordtag 	er halte den Bau des Jägers 90 in veränderter Form für möglich 
Wochenende_f1	Maschinen der Bundesluftwaffe beteiligen sich trotz andauernder Kämpfe seit dem 	Wochenendekeywordtag 	an der internationalen Luftbrücke für die notleidenden Menschen in Sarajewo 
Wochenende_f1	Den Straßenblockaden der Fernfahrer schlossen sich am 	Wochenendekeywordtag 	protestierende Bauern an die bis Sonntag abend die wichtige Bahnstrecke Paris-Lyon-Marseille lahmlegten 
Wochenende_f1	Präsidentenberater Sergej Tschachraj teilte am 	Wochenendekeywordtag 	mit die russische Führung wolle vor dem Verfassungsgericht nachweisen daß sich die KPdSU Machtbefugnisse angemaßt hatte die eindeutig ihren Status als politische Organisation sowie die sowjetische Verfassung verletzt hätten 
Wochenende_f1	In London haben am 	Wochenendekeywordtag 	mehrere hundert Menschen dagegen protestiert daß der umstrittene Historiker David Irving mit der Abschrift der kürzlich entdeckten Tagebücher des NS-Propagandaministers Joseph Goebbels beauftragt wurde 
Wochenende_f0	Beide sprachen am 	Wochenendekeywordtag 	in Frankfurt auf zwei unterschiedlichen Veranstaltungen zur Lage der Frau in Indien 
Wochenende_f0	In einem Rundfunkinterview hat er am 	Wochenendekeywordtag 	darauf hingewiesen die Gründung einer ostdeutschen Sammlungsbewegung sei womöglich die letzte Warnung an die Parteien 
Wochenende_f0	Am 	Wochenendekeywordtag 	hat die JU diesen Kurs fortgesetzt auf einem weiteren Landestag von der CDU einschneidende innerparteiliche Reformen verlangt und sich selbst in die massive Kritik einbezogen 
Wochenende_f0	Er habe `` mehrere Hinweise auf eine untertarifliche Bezahlung '' in der ehemaligen DDR erhalten sagte Hans-Ulrich Klose der Vorsitzende der SPD-Bundestagsfraktion am 	Wochenendekeywordtag 	im Gespräch mit der Frankfurter Rundschau 
Wochenende_f0	Schon am 	Wochenendekeywordtag 	war an den österreichischen Grenzen alles wieder scheinbar in bester Ordnung 
Wochenende_f0	Bei Unruhen in südafrikanischen Schwarzensiedlungen sind am 	Wochenendekeywordtag 	22 Menschen ums Leben gekommen 
