verurteilenf0	Zehn von dreihundert verhafteten Demonstranten wurden in Schnellverfahren zur Todesstrafe 	verurteiltkeywordtag 	vier von ihnen unmittelbar darauf hingerichtet 
verurteilenf0	Ein Gericht in der mexikanischen Stadt Guadalajara hat drei Polizeioffiziere wegen der Beteiligung an der Entführung des mexikanischen Arztes Humberto Alvarez Machain zu Haftstrafen von jeweils 18 Jahren und neun Monaten 	verurteiltkeywordtag 	
verurteilenf0	Siekeywordtag waren wegen eines geplanten Angriffes auf israelische Einrichtungen zu zweieinhalb Jahren Haft 	verurteiltkeywordtag 	worden 
verurteilenf0	Auch würden die Verantwortlichen für den Bürgerkrieg eindeutig 	verurteiltkeywordtag 	und weitere Hilfsmaßnahmen für die Bevölkerung in Aussicht gestellt 
verurteilenf0	Da gab es den führenden PKKFunktionär Ali Cetiner der nachdem erkeywordtag in Berlin wegen Mordes lediglich zu fünf Jahren Haft 	verurteiltkeywordtag 	worden war beim Düsseldorfer Kurdenprozeß einen derart schwachen Auftritt hinlegte daß selbst die Bundesanwaltschaft ins Zweifeln geriet 
verurteilenf0	In Sarajewo wurde dieser Akt als  gesetzwidrig  und  unrechtmäßig  	verurteiltkeywordtag 	
verurteilenf0	Irakkeywordtag bestritt die Vorwürfe und 	verurteiltekeywordtag 	die UNBewachung des Gebäudes als Eingriff in seine Souveränität 
verurteilenf0	Der Herausgeber der algerischen Wochenzeitung  Ech Chourouk el Arabi  sowie ein leitender Journalist des Blattes Ali Fodhil und Saad Bouakba sind am Montag zu je vier Monaten Gefängnis 	verurteiltkeywordtag 	worden 
verurteilenf0	Wie der algerische Rundfunk meldete wurden die beiden Journalisten wegen  Anstiftung zu Vergehen gegen die staatliche Sicherheit   Angriffen auf die Interessen der Nation  sowie  Beleidigung der Staatsgewalt  	verurteiltkeywordtag 	
verurteilenf0	Während Ägypten Jordanien und die PLOFührung das Attentat 	verurteiltenkeywordtag 	kamen aus Iran Libyen und Syrien Kommentare mit unverhohlener Sympathie für die Bluttat 
verurteilenf0	Der Berliner Politologe und Sprecher des Komitees für Grundrechte und Demokratie ist vom Bonner Amtsgericht wegen des Aufrufs zu Straftaten zu einer Geldstrafe von 5400 Mark 	verurteiltkeywordtag 	worden 
verurteilenf0	Siekeywordtag sollte 	verurteiltkeywordtag 	klug getilgt und isoliert werden 
verurteilenf0	Der Angeklagte wurde 	verurteiltkeywordtag 	
verurteilenf0	Ein dritter Angeklagter war 	verurteiltkeywordtag 	worden weil er in einem Leserbrief das TucholskyZitat ausdrücklich befürwortete und wiederholte  Alle Soldaten sind potentielle Mörder  
verurteilenf0	Auch sie wurde wegen Beleidigung der an dem Stand anwesenden Soldaten 	verurteiltkeywordtag 	
verurteilenf0	Natürlich ist auch die Opposition entsetzt und 	verurteiltkeywordtag 	die  Wahnsinnstat  
verurteilenf0	Im Juni 1967 als es in der deutschen Bundesrepublik vorübergehend gärte wurde der politisch wache Isang Yun zusammen mit siebzehn Leidensgenossen vom südkoreanischen Geheimdienst als Verschlußsache außer Landes befördert im Schauprozeß zum Tode 	verurteiltkeywordtag 	nach Interventionen zu erst 15 dann zehn Jahren  begnadigt  und dann gebrochen an Seele und Körper nicht aber am Geiste wieder  auf freien Fuß  gesetzt 
verurteilenf0	Sieben PKKMitglieder zum Tode 	verurteiltkeywordtag 	
verurteilenf0	Das Staatssicherheitsgericht in der westtürkischen Hafenstadt Izmir hat am Montag sieben Mitglieder der kurdischen Separatistenorganisation PKK wegen Terrorismus zum Tode 	verurteiltkeywordtag 	
verurteilenf0	Betreiber von  Nationalem Telefon  	verurteiltkeywordtag 	
verurteilenf0	Wegen Volksverhetzung und Telefonterrors ist ein 22jähriger Mainzer von der 3 Strafkammer des Landgerichts am Montag zu zwölf Monaten Jugendstrafe auf Bewährung 	verurteiltkeywordtag 	worden 
verurteilenf0	Drei von ihnen waren im selben Verfahren freigesprochen worden ein anderer mit drei weiteren zu Haftstrafen 	verurteiltkeywordtag 	worden 
verurteilenf0	Syriens Präsident Hafiz alAssad hatte in einem Telefongespräch mit USAußenminister Warren Christopher die Ermordung Rabins  in unmißverständlicher Schärfe 	verurteiltkeywordtag 	 
verurteilenf0	Schaath vertrat bei der Trauerfeier PLOChef Yassir Arafat derkeywordtag den Anschlag auf Rabin 	verurteiltkeywordtag 	hatte an dem Staatsakt jedoch aus Sicherheitsgründen nicht teilnahm 
verurteilenf0	Aus USRegierungskreisen verlautete dagegen der syrische Präsident Hafes el Assad habe den Mord 	verurteiltkeywordtag 	
verurteilenf0	Ein korrupter Richter in Brasilien hat nach Angaben eines hohen venezolanischen Beamten die Freilassung von drei brasilianischen Goldsuchern angeordnet diekeywordtag wegen Mordes an mindestens 17 Indios zu lebenslanger Haft 	verurteiltkeywordtag 	worden waren 
verurteilenf0	Das Gericht 	verurteiltekeywordtag 	im Gegensatz zum Landesarbeitsgericht das Land SachsenAnhalt einen Hochschulprofessor mit Lehrauftrag für Informationsverarbeitung weiterzubeschäftigen 
verurteilenf0	Die Judenverfolgung hat erkeywordtag aber nie öffentlich 	verurteiltkeywordtag 	
verurteilenf0	Der entschiedene Pazifist ist gerade unter anderem wegen  Landesverrats  zu 18 Monaten Haft 	verurteiltkeywordtag 	worden 
verurteilenf0	Ein britisches Berufungsgericht hat am Dienstag vier Geschäftsleute freigesprochen diekeywordtag wegen Waffenhandels mit Irak in der Zeit vor dem GolfKrieg 	verurteiltkeywordtag 	worden waren 
verurteilenf0	Aufgrund von Strafanzeigen einzelner Soldaten und des Bundesverteidigungsministeriums waren siekeywordtag wegen Beleidigung zu Geldstrafen 	verurteiltkeywordtag 	worden 
verurteilenf0	Ob Verwender des TucholskyZitats 	verurteiltkeywordtag 	werden oder nicht wird zur Gretchenfrage 
verurteilenf0	Die Fluggesellschaft British Airways ist zu Schadenersatz in Millionenhöhe 	verurteiltkeywordtag 	worden weil eine ihrer Maschinen im August 1990 nach dem Einmarsch irakischer Truppen in Kuwait gelandet war 
verurteilenf0	Er sagte in der Nacht zum Mittwoch im USFernsehsender CNN er selbst habe Gewalt als Mittel sich in die Politik Israels einzumischen stets 	verurteiltkeywordtag 	
verurteilenf0	Aber auch den ExVerteidigungsminister Hector Gramajo derkeywordtag von einem USGericht wegen Menschenrechtsverletzungen zur Zahlung von 475 Millionen Dollar 	verurteiltkeywordtag 	wurde 
verurteilenf0	Im sogenannten StiefelmordProzeß hat das Landgericht Göttingen am Mittwoch die Angeklagten zu sieben Jahren Haft beziehungsweise sechs Jahren Jugendstrafe 	verurteiltkeywordtag 	
verurteilenf0	1956 wurde der zwei Jahre zuvor nach Ostberlin entführte und im Dezember 1955 mit Hilfe des mit ihm befreundeten dänischen Journalisten BondeHenriksen zurückgekehrte ehemalige Präsident des BRDVerfassungsschutzes ein Mann des 20 Juli von NaziJuristen als  Verräter  	verurteiltkeywordtag 	
verurteilenf0	Der ehemalige Vorsitzende der verbotenen Nationalistischen Front NF Meinolf Schönborn wurde am Mittwoch zu zwei Jahren und drei Monaten Haft 	verurteiltkeywordtag 	
