bedauern_s954_f1	Minister Roelf Meyer 	bedauerte 	Mandelas ablehnende Haltung und sagte , der ANC habe sich für Konflikt und gegen Frieden und Verhandlungen entschieden . 
bedauern_s1983_f1	Vertreter des Uni-Sprecherrates 	bedauerten 	die Aussperrung , weil dadurch `` die Geschlossenheit des Kongreßes und der Austausch zwischen den sieben Foren unmöglich gemacht worden sei . 
bedauern_s3798_f1	Der portugiesische Ministerpräsident Anibal Cavaco Silva 	bedauerte 	in seiner Bilanz , daß die Richtlinien über die Arbeitszeit und über gefährliche Abfälle nicht in Kraft gesetzt worden seien . 
bedauern_s5774_f2	Erkeywordtag 	bedauere 	seine Tat nicht , gestand der Mörder den Verhörbeamten in der Hayarkon-Polizeistation : `` Gott befahl mir , es zu tun . '' 
bedauern_s6011_f2	Engelhardtkeywordtag 	bedauerte 	die Haltung der Bundesregierung zur Militärseelsorge . 
bedauern_s8219_f1	Über dieses Thema gibt es innerhalb von CDU / CSU und FDP noch heftigen Krach , denkeywordtag der stellvertretende SPD-Chef `` 	bedauert 	'' . 
bedauern_s8633_f1	Birokeywordtag 	bedauerte 	, daß die Behörden den Vorwürfen `` vollkommen desinteressiert '' begegneten . 
bedauern_s8759_f1	Zwar 	bedauere 	erkeywordtag die Toten an der Berliner Mauer und der innerdeutschen Grenze , ließ er das Berliner Landgericht bereits im Sommer wissen . 
bedauern_s10113_f1	Verteidigungsminister Volker Rühe ( CDU ) 	bedauerte 	am Dienstag die Aufhebung von vier Urteilen gegen Verwender des Tucholsky-Zitats `` Soldaten sind Mörder '' . 
bedauern_s10757_f1	Die Bonner Vertreterin des UN-Flüchtlingskommissars hat das Urteil des Bundesverwaltungsgerichts zur Drittstaatenregelung im Asylrecht 	bedauert 	und die Bundesregierung aufgefordert , den Abschiebeschutz auszuweiten . 
bedauern_s15598_f1	Jetzt steht der 62jährige wegen Untreue und Urkundenfälschung vor dem Landgericht Stuttgart und sagt mit brechender Stimme : `` Ichkeywordtag 	bedauere 	mein Fehlverhalten zutiefst . '' 
bedauern_s15613_f2	Am Ende einer langen Erklärung zur Sache erwähnt erkeywordtag seine Familie , `` die zum Teil von Haß verfolgt '' werde , und 	bedauert 	die Gemeinde wegen ihres finanziellen Schadens und weil seine Mitbürger `` von Medienvertretern belästigt '' würden . 
bedauern_s15698_f2	Siekeywordtag 	bedauerte 	aber , daß private Firmen sich Rosinen herauspicken könnten . 
bedauern_s20780_f1	Der Erdöl-Konzern Shell jedenfalls hat zwar die Hinrichtungen 	bedauert 	, mochte aber die Zeitungsmeldung , daß er am Mittwoch einen Vier-Milliarden-Dollar-Vertrag über die Ausbeutung von nigerianischen Gasvorkommen unterzeichnen werde , nicht dementieren . 
bedauern_s20897_f2	Der Außenminister 	bedauerte 	den Streit und die Abstimmungsniederlage der Koalition . 
bedauern_s22914_f2	Die NRW-Landesregierung 	bedauerte 	die Ausladung . 
bedauern_s22938_f1	Bräutigam sei zudem befangen , argumentierten die Anwälte , weil erkeywordtag 1993 öffentlich 	bedauert 	habe , die Bilanz der deutschen Justiz in DDR-Verfahren sei `` mager '' , vor allem bei der Verurteilung der `` Großen '' . 
bedauern_s24818_f2	`` Es existieren gewaltige Lücken in unserem Wissen um die Natur '' , 	bedauerte 	Dowdeswellkeywordtag . 
bedauern_s28323_f2	Schönhuber war in den vergangenen Wochen nicht nur wegen seiner Teilnahme an einem `` Runden Tisch '' für Rechtsradikale unter Beschuß geraten , sondern auch wegen rechtsextremer Äußerungen in seinem neuesten Buch , in dem erkeywordtag die Abgrenzung der Republikaner nach rechts 	bedauert 	. 
bedauern_s29676_f2	Die Teilnehmer der Konferenz in Osaka 	bedauerten 	, daß US-Präsident Bill Clinton nicht an dem Gipfel teilnimmt . 
