nachdenken_f0	Das Pekinger Massaker vom Juni 1989 hatte Schockwellen durch Hongkong gespült dessen vorwiegend an `` business '' interessierte Bewohner plötzlich über ihre bereits 1984 von Margaret Thatcher in Peking besiegelte Zukunft unter kommunistischer Herrschaft 	nachzudenkenkeywordtag 	begannen 
nachdenken_f0	Außerdem solle Brüsselkeywordtag über einen EG-einheitlichen Punkteführerschein 	nachdenkenkeywordtag 	
nachdenken_f0	Barbara Wischermann forderte Bundesinnenminister Manfred Kanther CDU auf über eine abgestufte Rückführungsregelung 	nachzudenkenkeywordtag 	
nachdenken_f0	Doch schon ein `` Schweriner Modell '' der Tolerierung über das im Nordosten seit der Berlin-Wahl auffallend laut 	nachgedachtkeywordtag 	wird ginge über Magdeburg hinaus 
nachdenken_f0	Der koalitionsgebundene Ringstorff ist noch am vorsichtigsten wenn er zur Möglichkeit eines frühzeitigen Seitenwechsels sagt `` Über diese Dinge wird in der SPD nicht 	nachgedachtkeywordtag 	zumindest nicht mehrheitlich '' 
nachdenken_f0	Manchen Anlaß 	nachzudenkenkeywordtag 	gab die Retrospektive des 38. Internationalen Leipziger Festivals für Dokumentar- und Animationsfilme 
nachdenken_f0	Und im neuseeländischen Auckland drängt das schlechte post-koloniale Gewissen die Teilnehmerländer des heute beginnenden Commonwealth-Gipfel dazu laut über Wirtschaftssanktionen gegen Nigeria 	nachzudenkenkeywordtag 	
nachdenken_f0	Diese Entwicklung war Mitte der achtziger Jahre Anlaß dafür in der SPD über ihre Zukunft in der `` Dienstleistungsgesellschaft '' zu diskutieren und darüber 	nachzudenkenkeywordtag 	wie sie vor allem an die neuen und in ihrer Bedeutung wachsenden Angestelltenschichten herankommen könne 
nachdenken_f0	Die 430 000 Angehörigen der US-Kriegsmarine müssen jeder einen Tag Zwangsurlaub nehmen damit siekeywordtag über die sich häufenden Sex- und Drogenskandale in der Truppe 	nachdenkenkeywordtag 	können 
nachdenken_f0	Deutschland darf nicht zum Land der Bedenkenträger verkommen wo über Blaupausen zwar 	nachgedachtkeywordtag 	im Bereich der Produktion jedoch Fabriken dichtgemacht und neue Fabriken erst gar nicht gebaut werden 
nachdenken_f0	Darum müßte von allen 	nachgedachtkeywordtag 	werden über die Möglichkeit der Selbstbeschränkung des freiwilligen Verzichts 
nachdenken_f0	Die SPD avancierte schließlich zum Modell um über den Zustand und die Zukunft der Traditionsparteien in Deutschland 	nachzudenkenkeywordtag 	
nachdenken_f0	Während sozialdemokratische Spitzenpolitiker laut über einen offeneren Umgang mit der PDS 	nachdenkenkeywordtag 	versteift sich die CDU-Führung darauf daß es diese Partei auch weiterhin zu isolieren gelte 
nachdenken_f0	Dies habe dazu geführt daß die Hochschulrektorenkonferenz über bisher tabuisierte Themen wie Studiengebühren 	nachdenkenkeywordtag 	müsse 
nachdenken_f0	Dies habe dazu geführt daß die HRK über bisher tabuisierte Themen wie Studiengebühren 	nachdenkenkeywordtag 	müsse sagte der HRK-Präsident 
nachdenken_f0	Wenn Wolff recht hat dann muß über die Grundlagen der öffentlichen Weiterbildung neu 	nachgedachtkeywordtag 	werden 
nachdenken_f0	Im positiven Sinne 	nachdenkenkeywordtag 	will der Verband über das von der IG Metall vorgeschlagene `` Bündnis für Arbeit '' 
nachdenken_f0	Über Aktionen müsse die Verbandsspitze 	nachdenkenkeywordtag 	
nachdenken_f0	`` Aber je mehr ichkeywordtag darüberkeywordtag 	nachdenkekeywordtag 	desto mehr bin ich überzeugt davon daß es sich auch bei dem Fischfriedhof um die direkten Opfer eines Einschlags handelt '' 
