Umsatz_s239_f1	Das wären ein bis anderthalb Prozent des 	Umsatzes 	. 
Umsatz_s1559_f1	Neun Monate später steuerte die neue Tochter schon 61 Prozent des 	Umsatzes 	von 364 Millionen Dollar und 96 Prozent des Gewinns von 53 Millionen Dollar bei . 
Umsatz_s2178_f1	Damals blieb von dem mit weltweit mehr als 21 000 Leuten erzielten 	Umsatz 	von 4,6 Milliarden Mark ein Gewinn von 190 Millionen hängen . 
Umsatz_s2269_f1	Der 	Umsatz 	stieg um fünf Prozent auf knapp 1,5 Milliarden . 
Umsatz_s2482_f1	Der März-Konzern , bei dem die Gründerfamilie das Sagen hat , macht zwar den Großteil seineskeywordtag 	Umsatzes 	von zuletzt zwei Milliarden Mark inzwischen mit Getränken ( zum Beispiel Biere der Marken Tucher , Henninger , EKU , Jever ) , verfügt aber auch über ein lukratives Fleischgeschäft ( 15 Prozent Erlösanteil ) unter der Marke Marox . 
Umsatz_s2483_f1	Mokselkeywordtag , mitkeywordtag rund vier Milliarden Markkeywordtag 	Umsatz 	doppelt so groß wie März , ist vor allem im internationalen Fleischhandel und der -verarbeitung tätig . 
Umsatz_s2990_f1	In den ersten acht Monaten , in denen der Auftragseingang um fünf Prozent auf 56,7 Milliarden und der 	Umsatz 	um sieben Prozent auf 47,8 Milliarden Mark kletterte , setzte sich offenbar der Trend des vergangenen Jahres verstärkt fort : 
Umsatz_s2992_f1	Nur durch die erstmalige Einbeziehung der Töchter in der Ex-DDR , die mit noch 18 000 Beschäftigten im laufenden Geschäftsjahr sechs Milliarden Orders und vier Milliarden 	Umsatz 	( davon 80 Prozent mit öffentlichen Kunden ) hereinholen sollen , wuchs die Belegschaft in den ersten acht Monaten um 13 000 auf weltweit 415 000 Männer und Frauen . 
Umsatz_s2999_f1	Im laufenden Geschäftsjahr wird Siemenskeywordtag dortkeywordtag nach eigener Einschätzung 700 Millionen 	Umsatz 	und damit nicht einmal ein Prozent seiner angepeilten Erlöse von 80 Milliarden Mark machenkeywordtag . 
Umsatz_s3277_f1	Durch Störungen des Arbeitsfriedens habe Toyota - der größte Autobauer in der Kap-Republik - in den vergangenen Monaten 45 Produktionstage und umgerechnet 375 Millionen Markkeywordtag ankeywordtag 	Umsatz 	eingebüßtkeywordtag . 
Umsatz_s3289_f1	Der 	Umsatz 	sprang um zwei Fünftel auf 131 Millionen Mark , der Gewinn sogar um mehr als 80 Prozent auf 9,6 Millionen . 
