erwaegen_s10108_f0	CDUkeywordtag 	erwägt 	Soldatenschutzkeywordtag 
erwaegen_s10112_f0	Als Konsequenz aus dem Soldaten-Urteil des Bundesverfassungsgerichts 	erwägt 	die CDU eine Verschärfung des Strafrechts . 
erwaegen_s10715_f0	Unterdessen hat die Nachrichtenagentur SRNA berichtet , der bosnische Serbenchef Radovan Karadzic 	erwägt 	die Begnadigung Rohdes . 
erwaegen_s10717_f0	Dennoch 	erwäge 	Karadzickeywordtag die Begnadigung nach einer Bitte von Rohdes Vater und als Beitrag zum gegenwärtigen Balkan-Gipfel in den USA . 
erwaegen_s12427_f0	Die Frau des griechischen Ministerpräsidenten Andreas Papandreou hat in einem Fernsehinterview angedeutet , daß siekeywordtag den Schritt in die aktive Politik 	erwägt 	. 
erwaegen_s17547_f0	Thüringer SPD 	erwägt 	Kurswechsel gegenüber der PDS 
erwaegen_s19442_f0	Die USA 	erwägen 	, den UN-Sicherheitsrat anzurufen . 
erwaegen_s19713_f0	Am Sonntag bestätigte der Ölkonzern Berichte , wonach erkeywordtag eine weitere Milliardeninvestition für eine Flüssiggasanlage im Nigerdelta 	erwägt 	. 
erwaegen_s20199_f0	Einigekeywordtag 	erwägen 	schon einen vorübergehenden Stopp der Verschiffung ihrer Maschinen . 
erwaegen_s20927_f0	Der britisch-niederländische Ölkonzern Shell , der wegen seines Engagements in Nigeria in die Kritik geraten ist , 	erwägt 	unterdessen eine weitere Milliardeninvestition in dem westafrikanischen Land . 
erwaegen_s23788_f0	Die UN 	erwägen 	, die Vollstreckung der Todesurteile in einer Resolution zu verurteilen und ein Waffenembargo gegen Nigeria zu beschließen . 
erwaegen_s27270_f0	UN und EU 	erwägen 	ein Waffenembargo , einen Stopp der Wirtschaftshilfe , eine Verurteilung im Sicherheitsrat und Reisebeschränkungen - alles längst überfällig , und dabei ist nicht einmal sicher , ob diese `` Strafen '' wirklich beschlossen werden . 
erwaegen_s27328_f0	Bischofkeywordtag 	erwägt 	Verfassungsklagekeywordtag 
erwaegen_s27356_f0	Aber eine gewisse `` Flucht in den Franken '' hat stattgefunden , und Geldexperten berichten , daß viele Kunden 	erwägen 	, sich dieser Bewegung anzuschließen . 
erwaegen_s28384_f0	TUIkeywordtag 	erwägt 	Gang nach Karlsruhe 
erwaegen_s29328_f0	Nachdem die Theater von Wuppertal und Gelsenkirchen ihren Stadtverwaltungen für 1996 ein ansatzweise bereits jetzt praktiziertes Modell der engen Kooperation unterbreitet hatten ( die FR berichtete ) , 	erwägen 	nun ebenfalls in Hoffnung auf Landeszuschüsse Essen und Oberhausen , ihre Schauspielhäuser 1998 zu fusionieren ( siehe FR vom 14. 11. ) . 
erwaegen_s29843_f0	Gleichwohl 	erwäge 	die Stadt , die nächste Instanz anzurufen . 
