existieren_s2370_f1	Die Bedrohung aus dem Osten 	existiere 	nicht mehr , und die finanziellen Probleme in Ostdeutschland seien riesig , sagte der Hallenser CDU-Bundestagsabgeordnete Manfred Lischweski dem `` Mitteldeutschen Express '' in Halle . 
existieren_s5695_f1	Eine Vorab-Quantifizierung sei unmöglich gewesen , weil Datenmaterial über das in die Bilanzen eingestellte EK 56 `` nicht 	existiert 	'' . 
existieren_s5988_f1	Manche Ministerien 	existierten 	nur auf dem Papier . 
existieren_s6124_f1	Deren Vorsitzender Martin Berthold sagte am Montag zu Beginn einer dreitägigen Bundestagung in Erfurt , die alten Eckpfeiler Wachstum , solider Sozialstaat und eine Politik zur Verbesserung der Lebensbedingungen für alle 	existierten 	nicht mehr . 
existieren_s7102_f1	Miteinander verschränkt 	existieren 	Ethik und Ästhetik , Körperlichkeit und Vernunft . 
existieren_s7556_f1	10. Berlin kann seine Umstrukturierung zu einer bürgernah dezentral und dennoch effektiv verwalteten Großstadt nur bewältigen , wenn zwischen Senat und allen Bezirksverwaltungen ein konstruktives Klima vertrauensvoller Zusammenarbeit 	existiert 	. 
existieren_s11393_f1	Es handelt sich um eine Periode des stürmischen Entstehens neuer politischer Parteien , der Wiederaufnahme der Tätigkeit von Parteien , die bis zu jener Zeit verboten waren sowie der Neugestaltung von Parteien , diekeywordtag auch in der kommunistischen Ära 	existierten 	. 
existieren_s11459_f1	Auch wenn es sich um Erscheinungen handelt , für die es tiefere , vom Zustand der Zivilisation abzuleitende Gründe gibt , Erscheinungen , diekeywordtag überall 	existieren 	und die mit der menschlichen Veranlagung zusammenhängen , haben sie in der postkommunistischen Welt doch eine besondere Färbung , die weitgehend von jenem frustrierten Gemütszustand geprägt ist , der eine der vielen unheilvollen Folgen des langen Lebens unter kommunistischer Vorherrschaft darstellt . 
existieren_s11924_f1	Aber `` genaue Berichtslinien und präzise Entscheidungskompetenzen 	existieren 	hier nicht '' , wird bemängelt . 
existieren_s12568_f1	Nach Kenntnis des deutschen Delegiertenbüros 	existiert 	bisherkeywordtag nur ein einziges mit ausländischem Kapital finanziertes Unternehmen in Gaza . 
existieren_s12769_f1	Der EGB hebt besonders hervor , daß es sich um ein individuelles , nicht an die Firmengröße gebundenes Recht für Männer und Frauen handle , daskeywordtag den Anspruch auf Mutterschaftsurlaub unberührt lasse und so bislangkeywordtag erst in drei EU-Ländern 	existiere 	. 
existieren_s14277_f1	Eine Brücke zwischen beiden Lagern 	existiert 	nicht . 
existieren_s16046_f1	`` Seiner genetischen Struktur zufolge muß dieses Virus schon seit langer Zeit 	existieren 	'' , fügt der Laborleiter hinzu . 
existieren_s16816_f1	VERKEHRSMITTEL : Seit wenigen Wochen 	existiert 	die neue Rebbergbahn ( Le Train des vignes ) mit besonders malerischem Streckenverlauf . 
existieren_s17095_f1		Existieren 	Zwitter zwischen Sonnen und Planeten - sogenannte Braune Zwerge - und wie sieht es in der Kinderstube von Galaxien aus ? 
existieren_s19870_f1	Allein in Westdeutschland 	existieren 	3,1 Millionen Unternehmen mit weniger als 20 Beschäftigten . 
existieren_s20044_f1	Doch nachweinen kann man ihm kaum , da erkeywordtag eigentlich nie wirklich 	existiert 	hat . 
existieren_s20506_f1	Das Mündungsgebiet des drittgrößten afrikanischen Stroms ist ein komplexes Ökosystem , in dem Salzwasser-Mangrovenwälder , Süßwassersümpfe , tropische Regenwälder und verschiedene Savannentypen nebeneinander 	existieren 	, mit einer entsprechend artenreichen Flora und Fauna . 
existieren_s23280_f1	Die Studie verweist auch auf den Wert noch nicht erforschter Arten , etwa im Regenwald , wo vermutlich noch Millionen unbekannter Lebensformen 	existieren 	. 
existieren_s23735_f1	Ein Kandidat , der von allen akzeptiert werde , 	existiere 	nicht . 
existieren_s23892_f1	In Passau 	existiert 	seit gut 20 Jahren eine Universität , wo so gut oder so schlecht gelehrt und geforscht wird wie an anderen deutschen Universitäten auch . 
existieren_s24127_f1	Bisherkeywordtag 	existiert 	nicht einmal der erklärte Wille zu einer vereinheitlichten elektronischen Straßenverkehrsordnung , geschweige denn einer notwendigen Angleichung von Rechtsnormen . 
existieren_s24818_f1	`` Es 	existieren 	gewaltige Lücken in unserem Wissen um die Natur '' , bedauerte Dowdeswell . 
existieren_s26112_f1	Es ist doch ein beklagenswerter Zustand , daß gegen Raketenstationierung , gegen Atomenergie sowie gegen militärische Interventionen in der Dritten Welt in der Regel satte politische Umfragemehrheiten 	existieren 	, bei den Wahlen jedoch Kräftekoalitionen siegen , welche programmatisch die gegenteilige Politik verfolgen . 
existieren_s29476_f1	Wenn die freie , öffentliche Meinung sowieso lediglich in Form von Parteizeitungen 	existierte 	, die Gewaltenteilung gar keine angebliche Errungenschaft aus dem erfolgreichen Kampf gegen eine feudale Obrigkeit zum Schutze der Bürger sein kann , sondern von oben , von der staatlichen Führung , per Verfassung dekretiert wird , dann setzt diese das Recht dafür ein , die chinesische Bevölkerung zu einem Staatsvolk werden zu lassen , das für den chinesischen Nationalstaat funktional sein soll . 
existieren_s29503_f1	Klar ist , daß die Mittel für eine sozialstaatliche Betreuung , wie siekeywordtag in den erfolgreichen Marktwirtschaften 	existieren 	, hierfür garantiert fehlen . 
existieren_s30944_f1	In Tiergärten 	existiert 	dank erfolgreicher Zucht ein fester Bestand von 385 Spitzmaul-Nashörnern . 
existieren_s32572_f1	Dieserkeywordtag wird so lange 	existieren 	, und die Dörfler werden solange für die morgendliche Exerzitie mit zerlumpten Armeehosen herumstehen , bis Jon Frum , eine Art Heiliger und Segensbringer , erscheinen wird , um Schiffsladungen mit Gütern und allem Reichtum der Erde auf die Inseln zu bringen . 
existieren_s32954_f1	Wanxiang bezahlt zwar einige Pensionäre , aber eine betriebseigene Arbeitslosenversicherung oder ein Entschädigungsfonds 	existiert 	nicht . 
existieren_s33740_f1	Vor fünf Jahren , als die Sowjetunion noch 	existierte 	, sah die veröffentlichte Meinung das Land in derselben Liga wie die USA ; 
existieren_s34134_f1	Und das Vatikanblatt Osservatore Romano vermerkte sarkastisch , man verzeihe `` den Einwanderern noch nicht einmal , daß siekeywordtag 	existieren 	'' . 
existieren_s34929_f1	So 	existiert 	irgendwo in den Fotoalben der Susanne von Paczensky ein Bild , das sie als junge Frau in ihrem geliehenen , unverwüstlich braunen Wollkleid zeigt , auf der Anklagebank des Nürnberger Prozesses , dort , wo zuvor der einstige Reichsaußenminister Joachim von Ribbentrop gesessen hatte . 
existieren_s35044_f1	Der Handlungsspielraum 	existiert 	. 
existieren_s37118_f2	`` Leipzigkeywordtag wird weiter existieren , so wie Dortmund 	existiert 	oder Köln oder Düsseldorf '' , betont der Manager . 
existieren_s38924_f1	Bayernweit 	existieren 	heute 110 Filialen und 800 Handelspartner . 
existieren_s39694_f1	Presseberichten zufolge soll ein global operierender Korruptionsring 	existieren 	, der nicht nur beim genannten VW-Auftrag , sondern auch bei anderen Geschäften in der Autoindustrie Bestechungsgelder kassiert hat . 
