zunehmen_s325_f1	Immerhin hat Hamburgs Einwohnerzahl in sechs Jahren um 90 000 	zugenommen 	. 
zunehmen_s456_f1	Sie zeigen uns gewissermaßen auf brutale Weise das Bild unserer eigenen gesellschaftlichen Zukunft , in der die Brutalität 	zunehmen 	wird . 
zunehmen_s5321_f1	Am wenigsten ist den Mitgliedern damit geholfen , wenn auf Konferenzen oder Tarifkommissions-Sitzungen eherne Beschlüsse gefaßt werden und gleichzeitig die Beispiele 	zunehmen 	, daß die betriebliche Wirklichkeit sich anders entwickelt . 
zunehmen_s6112_f1		Zugenommen 	hat allerdings das Bewußtsein für dieses Thema . 
zunehmen_s8896_f1	Mit 32 000 Fällen habe auch die illegale Abfallbeseitigung enorm 	zugenommen 	. 
zunehmen_s10040_f1	Sicher ist nur , daß bereits hinter den Kulissen die Unsicherheit in der Regie 	zunimmt 	. 
zunehmen_s14103_f1	Ungerechtfertigte Verhaftungen , Mißhandlungen und Folter haben danach in den letzten Monaten 	zugenommen 	. 
zunehmen_s14636_f1	Allgemeines Recht werde durch geheime Nebenabsprachen gebrochen , und es zeichne sich ab , daß in der EU Austrittsdrohungen , abweichende Voten und dergleichen 	zunehmen 	. 
zunehmen_s15774_f1	Nach Darstellung des rheinland-pfälzischen Wirtschaftsministers Rainer Brüderle hat auf den Strecken des sogenannten Rheinland-Pfalz-Taktes die Nutzung der Bahn in den ersten 500 Tagen um 43 Prozent 	zugenommen 	: 
zunehmen_s16250_f1	`` Schneeballgleich hat sich eine Lawine entwickelt , diekeywordtag an Dramatik immer weiter 	zunahm 	'' , erklärte er vor Gericht . 
zunehmen_s17684_f1	Diese beiden Globalisierungsaspekte sind nur gedanklich zu trennen , realwirtschaftlich bedingen sie sich insofern , als in dem Maße , in dem der Wettbewerbsdruck auf die Unternehmen aus den `` alten '' Industriestaaten 	zunimmt 	, diese zur Erhaltung ihrer Konkurrenzfähigkeit gezwungen sind , internationale Kostendifferenzen durch Produktionsverlagerungen oder Externalisierungen einzelner Betriebsfunktionen auszunutzen . 
zunehmen_s18140_f1	Unbestritten ist , daß die Zahl der Arbeitsplätze in der Industrie geringer wird , während gleichzeitig das Gewicht des Dienstleistungssektors 	zunimmt 	. 
zunehmen_s18150_f1	Diese Tendenz hat jedoch mit dem Fortfall des Systemwettbewerbs zwischen Ost und West enorm an Geschwindigkeit und Tiefe 	zugenommen 	. 
zunehmen_s19179_f1	Die Repressionen gegen Dissidenten hätten 	zugenommen 	, es gebe eine erschreckende Zahl von Hinrichtungen . 
zunehmen_s23229_f1	Eine andere Auslegung entziehe letztlich auch dem `` Asylkompromiß '' die Grundlage , weil die Anzahl der Flüchtlinge ohne sicheren Status 	zunehme 	, hieß es in der ersten Begründung des VGH . 
zunehmen_s23783_f1	Der Druck auf den Shell-Konzern wegen seiner Unternehmenspolitik in Nigeria hat am Dienstag 	zugenommen 	. 
zunehmen_s25766_f1	`` So wie die Proteste 	zunahmen 	, hat sich die Haltung der Regierung verhärtet . '' 
zunehmen_s26119_f1	Viertens ist zu erwarten , daß das Engagement lokaler Gruppen und NGO für kommaunale Fragen enorm 	zunimmt 	, wenn die zahlreichen themenbezogenen Runden Tische und Foren , die in den Städten und Gemeinden inzwischen eingerichtet worden sind , durch Änderung der Gemeindeordnung analog zur Verfassungsänderung für die Dritte Kammer auf Bundesebene Einspruchs- und Initiativkompetenz erhalten . 
zunehmen_s28465_f1	Pirateriekeywordtag habe in den vergangenen Jahren ständig 	zugenommen 	und oft `` mafiaähnliche Strukturen '' entwickelt . 
zunehmen_s29704_f1	Und sogar `` deutlich stärker '' haben die Gewinne nach Steuern 	zugenommen 	, was vor allem eine Konsequenz des Standortsicherungsgesetzes war , das die Auflösung von in früheren Jahren gebildeten Rücklagen steuerlich begünstigte . 
zunehmen_s30165_f1	Die Zahl der Arbeitslosen habe gegenüber 1994 um 10 000 	zugenommen 	. 
zunehmen_s30837_f1	Auch Vontz zeigte sich überzeugt , daß das Vertrauen von Investoren in Rußland 	zunehmen 	werde . 
zunehmen_s31632_f1	Doch wenn zur Jahresmitte der Herbst in der südlichen Hemisphäre Einzug hält und die Inversionswetterlagen 	zunehmen 	, erhält auch die Diskussion über die hausgemachte dicke Luft ihren Auftrieb . 
zunehmen_s35028_f1	Die öffentliche Verschuldung muß vielmehr 	zunehmen 	, wenn auf Umverteilungen verzichtet wird , und sie läßt sich ohne Steuererhöhungen nicht reduzieren . 
zunehmen_s35078_f1	In westdeutschen Metallbetrieben , in der Stahl- und Druckindustrie gilt jetzt zwar die `` 35 '' , gleichzeitig aber haben Zeitverdichtung , Zeitdruck , Zeitzwang enorm 	zugenommen 	. 
zunehmen_s37708_f1	Mit der Evolution der Welten wird auch ihre ökonomische Bedeutung 	zunehmen 	. 
