votieren_s1136_f1	Der Senat hatte am Donnerstag mit 173 gegen 140 Stimmen für die von Christdemokraten , Sozialisten , Sozialdemokraten und Liberalen gebildete Regierung 	votiert 	. 
votieren_s4160_f1	243 Abgeordnete 	votierten 	für das neu aufgelegte Koalitionskabinett ; 
votieren_s6098_f1	68,5 Prozent der Wähler 	votierten 	beim Bürgerentscheid am Sonntag für die stadtnahe Variante der A 17 nach Prag und stellten sich damit gegen die Mehrheit des Stadtparlaments . 
votieren_s6261_f1	Die Mehrzahl von ihnen hatte für Vertreter der politischen Mitte und des rechten Flügels 	votiert 	. 
votieren_s7809_f1	Nach der ersten vollständigen Auszählung der Stimmen , die die polnische Presseagentur am Montag abend veröffentlichte , 	votierten 	35,11 Prozent der Wähler für Kwasniewski . 
votieren_s8169_f1	für Walesa 	votierten 	33,11 Prozent der Wähler . 
votieren_s10939_f1	Für einen entsprechenden Leitantrag 	votierten 	188 Delegierte , 104 stimmten mit Nein . 
votieren_s13039_f1	Hätte Schäuble schon am Dienstag - und nicht , wie nun vorgesehen , nach weiteren Beratungen - 	votieren 	lassen , so wurden hinter vorgehaltener Hand in der Union gefallene Sätze kolportiert , wäre die Koalitionsvereinbarung durchgefallen - und Schäuble ebenso wie Kanzler Kohl blamiert gewesen . 
votieren_s13085_f1	Hätte Schäuble schon am Dienstag - und nicht , wie nun vorgesehen , nach weiteren Beratungen - 	votieren 	lassen , so wurden hinter vorgehaltener Hand in der Union gefallene Worte kolportiert , wäre die Koalitionsvereinbarung durchgefallen - und Schäuble ebenso wie Kanzler Kohl blamiert gewesen . 
votieren_s19352_f1	Da bei der ersten Abstimmung nicht klar war , welche Position eine Mehrheit erhalten hatte , mußten die Abgeordneten nach dem `` Hammelsprung '' erneut 	votieren 	. 
votieren_s25929_f1	463 Abgeordnete stimmten für Juppé , 87keywordtag 	votierten 	gegen den Regierungschef . 
votieren_s30734_f1	Für Lafontaine 	votierten 	mit 321 Stimmen nahezu zwei Drittel der Delegierten , während Scharping in der überraschend angesetzten Kampfabstimmung mit nur 190 Stimmen ( 37 Prozent ) klar unterlag . 
votieren_s30861_f1	Die Delegierten des Mannheimer SPD-Parteitags 	votierten 	am Donnerstag nach der Wahl des neuen SPD-Vorsitzenden Oskar Lafontaine und dem Wechsel seines Vorgängers auf einen der Stellvertreter-Posten nicht für wesentlichen Personalwechsel . 
votieren_s31341_f1	Abgeordnetekeywordtag 	votieren 	für US-Etat 
votieren_s31461_f1	Frankreich und Großbritannien 	votierten 	dagegenkeywordtag , Deutschland , Griechenland und Spanien enthielten sich . 
votieren_s31464_f1	Zwölf Staaten 	votierten 	dagegenkeywordtag . 
votieren_s31471_f1	Gegen die Resolution hatten auch die frankophonen Länder Dschibuti , Elfenbeinküste , Gabun , Mali , Mauretanien , Monaco , Niger , Senegal und Togo 	votiert 	. 
