Person_s1001_f1	Zur Personkeywordtag : 
Person_s1204_f1	Zur Personkeywordtag : PETER-MICHAEL DIESTEL ( Bild : Glaser ) , ehemaliger DDR-Innenminister und CDU-Politiker , ist von der Bundesregierung wegen eines umstrittenen Hauskaufs verklagt worden . 
Person_s1249_f1	Zur Personkeywordtag : UTA WÜRFEL , FDP-Bundestagsabgeordnete , hat die Einführung der in Frankreich bereits verschriebenen Abtreibungspille RU-486 auch für die Bundesrepublik gefordert . 
Person_s1404_f1	Zuvor hatten sich an der Grenze eines katholischen und eines protestantischen Viertels etwa 40 Personenkeywordtag mit Knüppeln , Holzbrettern und Steinen bekämpft . 
Person_s1454_f1	Fünf Personenkeywordtag wurden festgenommen . 
Person_s1779_f1	47 Personenkeywordtag wurden vorübergehend festgenommen . 
Person_s1789_f1	Insgesamt nahmen an der in Kirchenräume ausgewichenen Veranstaltung rund 2500 Personenkeywordtag teil . 
Person_s1984_f1	Insgesamt nahmen an der in Kirchenräume ausgewichenen Veranstaltung rund 2500 Personenkeywordtag teil . 
Person_s2450_f1	Zur Personkeywordtag : 
Person_s2660_f1	Man stellt die Personkeywordtag auf einen Stuhl , und die Stange wird an zwei Haken in der Decke befestigt . 
Person_s2663_f1	Die Personkeywordtag wird bewußtlos . 
Person_s3387_f1	Am Rande der Eröffnung des Münchner Gipfels wurden am Montag bei Zusammenstößen zwischen Demonstranten und Polizei nach Polizeiangaben 482 Personenkeywordtag festgenommen und viele in die Justizvollzugsanstalt Stadelheim gebracht . 
Person_s3593_f1	Zur Personkeywordtag : 
Person_s3604_f1	In einem am Dienstag in Seoul veröffentlichten Brief des südkoreanischen Ministerpräsidenten Chung Won Shik hieß es , der Süden wolle als Spione verurteilte Personenkeywordtag gegen Hunderte , vielleicht Tausende Zivilisten austauschen , die im Norden gegen ihren Willen festgehalten würden . 
Person_s3671_f1	Das vom Ältestenrat des Bundestages eingesetzte Gremium von elf Personenkeywordtag soll bei Bezügen und Altersversorgung von Politikern für eine größere Durchschaubarkeit sorgen . 
Person_s3744_f1	Etwa 70 Personenkeywordtag gelang es , den Sicherheitskordon der Polizei zu durchbrechen und bis zur deutschen Botschaft vorzudringen . 
Person_s3911_f1	Außerdem seien 20 weitere Personenkeywordtag festgenommen worden , die ihm zur Flucht verholfen hätten , hieß es weiter . 
Person_s3938_f1	Bei Kämpfen in der westgeorgischen Stadt Zelendschicha zwischen Anhängern des gestürzten Präsidenten Swiad Gamsachurdia und der Armee sind ebenfalls mehrere Personenkeywordtag getötet worden . 
Person_s3961_f1	Zur Personkeywordtag : 
Person_s3978_f1	Waldheimkeywordtag war dort zurkeywordtag `` unerwünschtenkeywordtag 	Person 	'' erklärtkeywordtag worden . 
Person_s4114_f1	300 000 Personenkeywordtag wurdenkeywordtag obdachloskeywordtag . 
Person_s4371_f1	ZUR PERSONkeywordtag 
Person_s4459_f1	Nach Angaben der Behörden der Stadt Rio Tercero vom Wochenende wurden noch zahlreiche Personenkeywordtag vermißt . 
Person_s5617_f1	Auch in den USA wurden von verantwortlichen Parlamentariern ohne Augenmaß Personenkeywordtag , Politik und Institutionen verhöhnt und abqualifiziert , ohne dabei an die Atmosphäre wachsender Gewaltbereitschaft in der Gesellschaft zu denken . 
