beschiessen_s1483_f1	Dazu hätten siekeywordtag Stellungen der Hezb-e Islami 	beschossen 	. 
beschiessen_s3150_f1	Auch Dubrovnik wurde wieder 	beschossen 	. 
beschiessen_s3697_f1	Sarajewokeywordtag 	beschossen 	
beschiessen_s6495_f1	Drei Angreifer hatten den Stützpunkt mit Granatwerfern und Gewehren 	beschossen 	, teilte ein UN-Sprecher mit . 
beschiessen_s6604_f1	Der Stützpunkt sei von drei Angreifern mit Gewehren und Granatwerfern 	beschossen 	worden . 
beschiessen_s10663_f1	Zugkeywordtag in Ägypten 	beschossen 	
beschiessen_s10665_f1	Drei Wochen vor den Parlamentswahlen in Ägypten haben Unbekanntekeywordtag den zwischen Luxor und Kairo verkehrenden Expreßzug 	beschossen 	. 
beschiessen_s12466_f1	`` Die Krankenhäuser wurden systematisch 	beschossen 	'' , sagte Ljubic . 
beschiessen_s27128_f1	Zwei russische Armeehubschrauber 	beschießen 	direkt gegenüber am Bergrücken eine Untergrundgruppe mit Raketen . 
beschiessen_s28362_f1	Die Truppen standen nach seinen Angaben etwa einen Kilometer vor der Stadt und wurden von den Befreiungstigern von Tamil Eelam ( LTTE ) 	beschossen 	. 
beschiessen_s34317_f1	Unbekanntekeywordtag 	beschossen 	südlich von Kairo einen Zug und töteten einen Bahnangestellten . 
